episode	mean	max
1223	2056.18	23528
1224	2069.88	23528
1225	2078.01	23528
1226	2092.62	23528
1227	2100.72	23528
1228	2106.3	23528
1229	2118.69	23528
1230	2128.86	23528
1231	2134.08	23528
1232	2149.24	23528
1233	2159.21	23528
1234	2172.47	23528
1235	2180.18	23528
1236	2188.37	23528
1237	2195.61	23528
1238	2204.38	23528
1239	2221.52	23528
1240	2224.01	23528
1241	2231.24	23528
1242	2239.64	23528
1243	2248.81	23528
1244	2263.51	23528
1245	2272.41	23528
1246	2281.93	23528
1247	2288.62	23528
1248	2297.66	23528
1249	2300.06	23528
1250	2313.12	23528
1251	2321.37	23528
1252	2329.17	23528
1253	2337.14	23528
1254	2344.65	23528
1255	2357.21	23528
1256	2361.08	23528
1257	2364.56	23528
1258	2372.45	23528
1259	2387.94	23528
1260	2396.96	23528
1261	2402.42	23528
1262	2408.96	23528
1263	2416.76	23528
1264	2426.22	23528
1265	2437.63	23528
1266	2444.02	23528
1267	2465.5	23528
1268	2478.17	23528
1269	2486.3	23528
1270	2502.17	23528
1271	2510.14	23528
1272	2519.34	23528
1273	2528.28	23528
1274	2535.99	23528
1275	2544.38	23528
1276	2555.13	23528
1277	2557.31	23528
1278	2573.33	23528
1279	2580.76	23528
1280	2591.06	23528
1281	2600.5	23528
1282	2607.9	23528
1283	2615.84	23528
1284	2625.06	23528
1285	2632.96	23528
1286	2642.43	23528
1287	2651.29	23528
1288	2659.19	23528
1289	2667.97	23528
1290	2682.44	23528
1291	2695.8	23528
1292	2707.03	23528
1293	2713.71	23528
1294	2721.85	23528
1295	2731.44	23528
1296	2742.44	23528
1297	2755.88	23528
1298	2765.49	23528
1299	2771.42	23528
1300	2774.04	23528
1301	2786.28	23528
1302	2795.73	23528
1303	2813.58	23528
1304	2828.08	23528
1305	2840.9	23528
1306	2847.38	23528
1307	2862	23528
1308	2871	23528
1309	2874.63	23528
1310	2884.49	23528
1311	2894.3	23528
1312	2902.2	23528
1313	2910.08	23528
1314	2917.31	23528
1315	2925.81	23528
1316	2930.64	23528
1317	2934.15	23528
1318	2939.66	23528
1319	2952.83	23528
1320	2961.02	23528
1321	2975.21	23528
1322	2983.86	23528
1323	2989.53	23528
1324	2999.22	23528
1325	3007	23528
1326	3023.42	23528
1327	3050.84	27420
1328	3060.64	27420
1329	3074.78	27420
1330	3080.12	27420
1331	3095.76	27420
1332	3102.86	27420
1333	3118.79	27420
1334	3138.7	27420
1335	3151.51	27420
1336	3161.44	27420
1337	3167.16	27420
1338	3176.02	27420
1339	3184.84	27420
1340	3193.57	27420
1341	3209.32	27420
1342	3213.52	27420
1343	3227.14	27420
1344	3235.88	27420
1345	3243.08	27420
1346	3251.32	27420
1347	3260.66	27420
1348	3267.57	27420
1349	3281.92	27420
1350	3291.16	27420
1351	3303.04	27420
1352	3318.79	27420
1353	3336.01	27420
1354	3344.95	27420
1355	3353.38	27420
1356	3366.92	27420
1357	3376.36	27420
1358	3392.98	27420
1359	3399.63	27420
1360	3416.33	27420
1361	3426.02	27420
1362	3433.93	27420
1363	3437.04	27420
1364	3451.04	27420
1365	3456.2	27420
1366	3462.95	27420
1367	3464.39	27420
1368	3469.86	27420
1369	3478.28	27420
1370	3483.02	27420
1371	3497.52	27420
1372	3509.34	27420
1373	3519.23	27420
1374	3533.28	27420
1375	3548.42	27420
1376	3560	27420
1377	3568.53	27420
1378	3576.36	27420
1379	3583.82	27420
1380	3592.58	27420
1381	3601.21	27420
1382	3609	27420
1383	3627.5	27420
1384	3635.67	27420
1385	3649.33	27420
1386	3652.15	27420
1387	3660.65	27420
1388	3670.35	27420
1389	3678.21	27420
1390	3692.62	27420
1391	3709.27	27420
1392	3717.23	27420
1393	3731.58	27420
1394	3741.49	27420
1395	3750.97	27420
1396	3757.99	27420
